,City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
375,Yatou,CN,1543120348,0,20,33.81,104.32,49.79,1.88
376,Leningradskiy,RU,1543120348,48,91,69.38,178.42,18.24,24.7
377,Kijang,ID,1543120348,20,93,0.9,104.63,84.93,4.0
378,Capreol,CA,1543118400,90,100,46.71,-80.92,33.8,12.75
379,Souillac,MU,1543118400,40,69,-20.52,57.52,80.6,6.93
380,Osorno,CL,1543120350,0,83,-40.57,-73.14,46.68,7.02
381,Dunedin,NZ,1543120201,92,100,-45.87,170.5,50.64,10.6
382,Kurilsk,RU,1543120351,48,93,45.23,147.88,42.23,10.94
383,Carutapera,BR,1543120351,88,87,-1.2,-46.02,79.62,8.55
384,Alyangula,AU,1543120351,8,79,-13.85,136.42,91.41,5.41
385,Blackwater,AU,1543120352,0,15,-23.58,148.88,101.94,21.23
386,Whitecourt,CA,1543118400,75,92,54.14,-115.68,23.0,5.82
387,Kaabong,UG,1543120353,0,56,3.51,34.14,74.85,8.55
388,Guadalupe y Calvo,MX,1543120353,44,83,26.09,-106.96,41.33,2.06
389,Vila Franca do Campo,PT,1543118400,40,67,37.72,-25.43,60.8,8.05
390,Husavik,IS,1543118400,0,92,66.04,-17.34,19.4,2.24
391,Ilulissat,GL,1543117800,44,63,69.22,-51.1,30.2,2.24
392,Heihe,CN,1543120354,0,51,33.22,106.45,56.94,2.1
393,Kangaatsiaq,GL,1543120355,48,93,68.31,-53.46,29.54,9.89
394,Paamiut,GL,1543120355,0,83,61.99,-49.67,39.75,6.02
395,Arman,RU,1543118400,48,91,59.7,150.17,1.4,6.71
396,Huangzhai,CN,1543120355,8,69,23.86,112.01,71.03,4.34
397,Aba,NG,1543118400,75,94,5.11,7.36,77.0,6.35
398,Namatanai,PG,1543120356,20,97,-3.66,152.44,85.43,2.62
399,Sikeston,US,1543119300,1,93,36.88,-89.59,46.4,4.7
400,Kotovo,RU,1543120357,68,77,50.32,44.8,19.14,10.83
401,Duyun,CN,1543120357,20,75,26.27,107.52,58.61,4.34
402,Tupik,RU,1543120358,88,59,54.43,119.94,-8.58,3.56
403,Mikuni,JP,1543118400,40,45,36.22,136.15,62.6,14.99
404,Yerbogachen,RU,1543120358,0,49,61.28,108.01,1.01,10.04
405,Kloulklubed,PW,1543118040,75,70,7.04,134.26,86.0,5.82
406,Hualmay,PE,1543120359,44,95,-11.1,-77.61,57.44,5.01
407,Lazaro Cardenas,MX,1543117500,75,31,28.39,-105.62,64.4,13.87
408,Clinton,US,1543118220,90,96,41.84,-90.19,37.94,5.82
409,Sao Joao da Barra,BR,1543120360,92,98,-21.64,-41.05,77.37,25.48
410,San,ML,1543120308,0,65,13.3,-4.9,60.9,3.89
411,Sao Miguel do Araguaia,BR,1543120361,48,97,-13.28,-50.16,73.23,4.23
412,Praia,CV,1543118400,75,69,14.92,-23.51,73.4,24.16
413,Sakhnovshchyna,UA,1543120361,88,91,49.15,35.87,22.43,9.44
414,Inirida,CO,1543120362,44,96,3.87,-67.92,75.03,1.99
415,Itarema,BR,1543120362,88,85,-2.92,-39.92,78.45,11.39
416,Saint-Pierre,PM,1543120363,64,100,46.77,-56.17,34.17,22.64
417,At-Bashi,KG,1543120363,0,66,41.17,75.81,27.56,2.51
418,Sisimiut,GL,1543120363,48,87,66.94,-53.67,26.03,6.76
419,Bridlington,GB,1543117800,12,93,54.08,-0.19,42.8,5.82
420,Lagoa,PT,1543118400,20,88,37.14,-8.45,62.6,9.17
421,Matay,EG,1543120365,0,89,28.42,30.79,56.54,4.07
422,Urbano Santos,BR,1543120365,32,91,-3.2,-43.39,76.11,8.32
423,Umm Lajj,SA,1543120365,8,100,25.02,37.27,68.91,5.35
424,Serebryansk,KZ,1543118400,90,67,49.68,83.3,19.4,17.9
425,Batamshinskiy,KZ,1543118400,90,72,50.56,58.27,17.6,13.42
426,Kaeo,NZ,1543120366,8,79,-35.1,173.78,62.84,22.12
427,Dosso,NE,1543120367,0,40,13.05,3.19,63.15,6.42
428,Sitka,US,1543120367,12,44,37.17,-99.65,46.95,28.16
429,Tefe,BR,1543120367,88,89,-3.35,-64.71,79.26,3.0
430,Yar-Sale,RU,1543120368,36,72,66.83,70.83,-2.33,6.58
431,Gavle,SE,1543120368,0,100,60.67,17.14,28.19,8.66
432,Conneaut,US,1543119300,90,92,41.95,-80.55,48.02,6.93
433,Gladstone,AU,1543120077,32,35,-23.84,151.26,96.41,13.65
434,Phan Thiet,VN,1543120369,92,100,10.93,108.1,76.65,11.45
435,Yelizovo,RU,1543118400,90,95,53.19,158.38,32.0,4.47
436,Abong Mbang,CM,1543120369,80,95,3.98,13.18,67.65,2.06
437,Katsuura,JP,1543118400,75,51,33.93,134.5,62.6,10.29
438,Lilongwe,MW,1543118400,75,93,-13.97,33.79,66.2,9.17
439,Westport,IE,1543120370,88,100,53.8,-9.52,40.61,8.59
440,Caxito,AO,1543118400,75,88,-8.58,13.66,77.0,2.24
441,Chino Valley,US,1543118100,1,75,34.76,-112.45,46.4,5.82
442,Kayalpattinam,IN,1543120372,20,91,8.57,78.12,81.96,14.92
443,Mahanoro,MG,1543120372,68,91,-19.9,48.8,74.67,2.06
444,Geraldton,AU,1543116600,0,43,-28.77,114.6,73.4,13.87
445,Sinjar,IQ,1543120373,56,84,36.32,41.88,47.22,2.73
446,Chapleau,CA,1543120373,88,96,47.85,-83.4,37.68,4.63
447,Tutoia,BR,1543120374,8,85,-2.76,-42.27,78.41,11.61
448,Fairbanks,US,1543118280,1,91,64.84,-147.72,10.04,6.8
449,Elko,US,1543118160,1,74,40.83,-115.76,28.04,2.77
450,Talnakh,RU,1543120374,56,56,69.49,88.39,-11.64,2.77
451,Wukari,NG,1543120375,0,64,7.87,9.78,69.41,3.33
452,Nelson Bay,AU,1543118400,75,47,-32.72,152.14,75.2,14.99
453,Kant,KG,1543120375,0,75,42.89,74.85,21.12,1.72
454,Nuuk,GL,1543117800,0,38,64.17,-51.74,41.0,18.34
455,Emerald,AU,1543120376,0,17,-23.53,148.16,101.58,21.9
456,Novocheremshansk,RU,1543120377,92,86,54.35,50.17,23.69,7.54
457,Lompoc,US,1543118580,90,92,34.64,-120.46,60.08,11.41
458,Ilhabela,BR,1543120130,32,95,-23.78,-45.36,72.83,5.82
459,Teykovo,RU,1543120377,80,89,56.86,40.54,26.61,10.83
460,Poso,ID,1543120378,24,100,-1.4,120.75,82.86,3.89
461,Zyryanka,RU,1543120378,68,61,65.73,150.89,-12.9,2.62
462,Grand Gaube,MU,1543118400,40,69,-20.01,57.66,80.6,6.93
463,Vrangel,RU,1543120378,0,100,42.73,133.08,42.45,16.08
464,Dawei,MM,1543120379,8,57,14.07,98.19,87.27,2.21
465,Bankura,IN,1543120379,0,58,23.24,87.07,79.71,5.01
466,Razole,IN,1543120380,0,98,16.48,81.84,81.83,6.76
467,Marand,IR,1543118400,90,80,38.43,45.77,39.2,9.17
468,Presidencia Roque Saenz Pena,AR,1543120380,20,85,-26.79,-60.44,70.08,6.13
469,Awjilah,LY,1543120380,8,80,29.14,21.3,47.85,2.84
470,Whitianga,NZ,1543120381,92,97,-36.83,175.7,64.32,20.56
471,Alpena,US,1543119300,90,95,45.06,-83.43,41.0,6.93
472,Noyakert,AM,1543118400,40,86,39.83,44.67,39.2,1.39
473,Jining,CN,1543120382,0,69,35.41,116.58,61.35,4.63
474,Qasigiannguit,GL,1543117800,44,63,68.82,-51.19,30.2,2.24
475,Chunoyar,RU,1543120382,88,56,57.45,97.32,24.23,13.96
476,Sawtell,AU,1543116600,40,36,-30.38,153.1,77.0,16.11
477,Alta Floresta,BR,1543120383,56,97,-9.87,-56.08,74.76,2.39
478,Veseloyarsk,RU,1543120383,48,83,51.29,81.11,17.34,16.82
479,Sovetskiy,RU,1543120384,92,91,56.76,48.47,23.91,8.43
480,North Platte,US,1543117980,90,92,41.12,-100.77,33.98,8.05
481,Lady Frere,ZA,1543120384,36,43,-31.7,27.23,69.9,3.4
482,Beringovskiy,RU,1543120385,68,100,63.05,179.32,23.73,23.47
483,Port Keats,AU,1543120385,0,85,-14.25,129.55,88.94,11.05
484,Semporna,MY,1543114800,75,88,4.48,118.61,77.0,4.7
485,Wawa,CA,1543120385,92,97,47.99,-84.77,36.96,3.0
486,Imeni Babushkina,RU,1543120386,68,87,59.76,43.13,23.01,6.8
487,Kasongo-Lunda,CD,1543120386,64,93,-6.48,16.82,73.19,2.21
488,Bullhead City,US,1543118160,1,42,35.15,-114.57,62.6,3.36
489,Itapirapua,BR,1543120387,92,98,-15.82,-50.61,69.54,3.06
490,Dehui,CN,1543118400,0,37,44.53,125.71,33.8,13.42
491,Lawrenceburg,US,1543119300,75,100,35.24,-87.33,46.04,4.54
492,Grass Valley,US,1543118460,90,93,39.22,-121.06,57.2,4.7
493,Starozhilovo,RU,1543120388,76,82,54.23,39.91,21.44,9.15
494,Saint-Augustin,CA,1543119780,90,92,45.63,-73.98,33.8,8.05
495,Aksha,RU,1543120389,80,59,50.28,113.29,26.66,3.56
496,Mildura,AU,1543120389,0,59,-34.18,142.16,72.74,11.68
497,Dabat,ET,1543120390,0,42,12.98,37.77,66.98,1.88
498,Khasan,RU,1543120390,0,87,42.43,130.64,43.76,5.35
499,Mvuma,ZW,1543120390,80,75,-19.28,30.53,67.56,7.81
500,Monywa,MM,1543120391,0,74,22.12,95.13,81.42,7.25
501,Roanoke Rapids,US,1543119300,90,93,36.46,-77.65,43.34,6.91
502,Tongliao,CN,1543120391,0,36,43.61,122.27,37.46,6.24
503,Yakovlevka,RU,1543120392,44,61,44.43,133.47,35.43,3.51
504,Kurush,RU,1543120392,8,77,41.28,47.83,32.46,2.73
505,Kedougou,SN,1543114800,0,47,12.56,-12.19,75.2,4.7
506,Luganville,VU,1543120393,24,100,-15.51,167.18,82.86,3.74
507,Xingcheng,CN,1543120393,0,34,40.62,120.71,47.18,4.34
508,Cidreira,BR,1543120393,92,93,-30.17,-50.22,67.61,11.79
509,Whitehorse,CA,1543118400,90,79,60.72,-135.06,24.8,17.22
510,Sechura,PE,1543120394,8,91,-5.56,-80.82,68.46,10.6
511,Bozhou,CN,1543120394,0,66,33.86,115.78,62.34,4.56
512,Bunesti,RO,1543118400,90,86,46.83,27.97,28.4,3.36
513,Tual,ID,1543120395,12,100,-5.67,132.75,84.21,5.53
514,Pavelets,RU,1543120395,76,83,53.79,39.25,21.08,8.59
515,Gorontalo,ID,1543120396,36,88,0.54,123.06,80.39,0.76
516,Suez,EG,1543120396,8,85,29.97,32.54,54.96,3.06
517,Isangel,VU,1543120396,88,100,-19.55,169.27,76.92,9.78
518,Ossora,RU,1543120396,92,100,59.24,163.07,13.79,5.64
519,Kasempa,ZM,1543120397,88,93,-13.46,25.83,66.89,8.25
520,Ashqelon,IL,1543117800,20,87,31.67,34.57,59.0,4.7
521,Stonewall,CA,1543118400,90,72,50.13,-97.33,12.2,12.75
522,Magnolia,US,1543118100,1,100,33.27,-93.24,57.74,5.82
523,Shakawe,BW,1543120398,12,61,-18.36,21.84,74.94,12.46
524,Santa Cruz,CL,1543118400,80,58,-34.64,-71.37,59.0,4.7
525,Grand Forks,US,1543119300,90,85,47.91,-97.06,19.4,18.34
526,Harper,LR,1543120399,88,100,4.38,-7.71,75.39,6.64
527,Pokrovskoye,RU,1543120399,56,75,47.41,38.9,10.23,4.74
528,Gaozhou,CN,1543120400,92,61,21.91,110.85,72.24,5.57
529,Port Moresby,PG,1543114800,40,44,-9.47,147.16,95.0,14.99
530,Kavieng,PG,1543120400,36,100,-2.57,150.8,83.58,5.35
531,Vung Tau,VN,1543118400,90,94,10.35,107.08,77.0,9.17
532,Kassala,SD,1543120254,0,61,15.45,36.38,74.04,4.56
533,Chimbote,PE,1543120402,56,93,-9.08,-78.59,62.52,7.36
534,Nantucket,US,1543119300,1,86,41.28,-70.1,48.92,19.46
535,Valparaiso,CL,1543118400,0,82,-33.04,-71.63,55.4,2.73
